month,시도,철새수,발생건수,예측 발생건수,발생건수/예측 발생건수,위험도
1,강원도,626130,2,9,0.22,0
1,경기도,1242626,55,16,3.44,3
1,경상남도,347682,11,6,1.83,1
1,경상북도,554884,2,8,0.25,0
1,광주광역시,49915,0,2,0,0
1,대구광역시,17006,0,2,0,0
1,부산광역시,411231,2,6,0.33,0
1,서울특별시,126690,0,3,0,0
1,세종특별자치시,55283,1,2,0.5,0
1,울산광역시,693134,0,10,0,0
1,인천광역시,214373,0,4,0,0
1,전라남도,1041056,37,14,2.64,2
1,전라북도,1773081,51,22,2.32,2
1,제주특별자치도,256564,0,5,0,0
1,충청남도,3370301,17,41,0.41,0
1,충청북도,212624,5,4,1.25,1
2,강원도,411800,1,6,0.17,0
2,경기도,962652,32,13,2.46,2
2,경상남도,134152,2,3,0.67,0
2,경상북도,325603,1,5,0.2,0
2,광주광역시,18287,0,2,0,0
2,대구광역시,2515,0,2,0,0
2,부산광역시,311381,0,5,0,0
2,서울특별시,69569,0,2,0,0
2,세종특별자치시,80093,0,3,0,0
2,울산광역시,369927,2,6,0.33,0
2,인천광역시,32003,1,2,0.5,0
2,전라남도,514334,21,8,2.63,2
2,전라북도,691757,20,10,2,1
2,제주특별자치도,134190,1,3,0.33,0
2,충청남도,2381390,15,29,0.52,0
2,충청북도,145929,75,3,25,10
3,강원도,411756,0,6,0,0
3,경기도,1133953,12,15,0.8,0
3,경상남도,55363,0,2,0,0
3,경상북도,167645,2,4,0.5,0
3,광주광역시,5141,0,2,0,0
3,대구광역시,0,0,2,0,0
3,부산광역시,174620,0,4,0,0
3,서울특별시,117943,0,3,0,0
3,세종특별자치시,35141,4,2,2,1
3,울산광역시,137218,0,3,0,0
3,인천광역시,3568,0,2,0,0
3,전라남도,217119,38,4,9.5,9
3,전라북도,176620,21,4,5.25,5
3,제주특별자치도,66983,0,2,0,0
3,충청남도,1180533,21,15,1.4,1
3,충청북도,106838,24,3,8,7
4,경기도,0,8,2,4,3
4,경상남도,0,1,2,0.5,0
4,울산광역시,0,1,2,0.5,0
4,전라남도,0,5,2,2.5,2
4,전라북도,0,12,2,6,5
4,충청남도,0,3,2,1.5,1
4,충청북도,0,1,2,0.5,0
5,경기도,0,2,2,1,0
5,전라남도,0,7,2,3.5,3
5,충청남도,0,1,2,0.5,0
6,강원도,0,1,2,0.5,0
6,경기도,0,2,2,1,0
6,경상남도,0,3,2,1.5,1
6,대구광역시,0,2,2,1,0
6,부산광역시,0,2,2,1,0
6,울산광역시,0,3,2,1.5,1
6,전라남도,0,5,2,2.5,2
6,전라북도,0,20,2,10,9
6,제주특별자치도,0,6,2,3,2
7,전라남도,0,4,2,2,1
9,광주광역시,0,2,2,1,0
9,전라남도,0,16,2,8,7
10,강원도,445605,0,7,0,0
10,경기도,1067757,0,14,0,0
10,경상남도,92520,0,3,0,0
10,경상북도,86801,0,3,0,0
10,광주광역시,3895,0,2,0,0
10,대구광역시,0,0,2,0,0
10,부산광역시,166103,0,4,0,0
10,서울특별시,20915,0,2,0,0
10,세종특별자치시,6430,0,2,0,0
10,울산광역시,7098,0,2,0,0
10,인천광역시,0,0,2,0,0
10,전라남도,139561,24,3,8,7
10,전라북도,211849,0,4,0,0
10,제주특별자치도,18114,0,2,0,0
10,충청남도,1464513,0,19,0,0
10,충청북도,53479,0,2,0,0
11,강원도,496948,1,7,0.14,0
11,경기도,1294202,10,17,0.59,0
11,경상남도,165788,0,4,0,0
11,경상북도,173857,1,4,0.25,0
11,광주광역시,7804,0,2,0,0
11,대구광역시,0,0,2,0,0
11,부산광역시,416788,0,6,0,0
11,서울특별시,52637,0,2,0,0
11,세종특별자치시,15098,1,2,0.5,0
11,울산광역시,173920,0,4,0,0
11,인천광역시,0,0,2,0,0
11,전라남도,806390,9,11,0.82,0
11,전라북도,451496,7,7,1,0
11,제주특별자치도,77459,0,3,0,0
11,충청남도,1888526,4,24,0.17,0
11,충청북도,134560,46,3,15.33,10
12,강원도,770420,1,11,0.09,0
12,경기도,1443051,111,18,6.17,6
12,경상남도,381023,4,6,0.67,0
12,경상북도,556454,4,8,0.5,0
12,광주광역시,40944,0,2,0,0
12,대구광역시,17882,0,2,0,0
12,부산광역시,370711,1,6,0.17,0
12,서울특별시,136044,0,3,0,0
12,세종특별자치시,54182,16,2,8,7
12,울산광역시,632486,0,9,0,0
12,인천광역시,281113,1,5,0.2,0
12,전라남도,2099384,31,26,1.19,1
12,전라북도,965887,39,13,3,2
12,제주특별자치도,213369,0,4,0,0
12,충청남도,2737777,53,34,1.56,1
12,충청북도,212265,41,4,10.25,10
